"","...1","country","region","Logged GDP per capita","Social support","Healthy life expectancy","Freedom to make life choices","Generosity","Perceptions of corruption","latitude","longitude","Year","Score"
"133",19,"United States","North America and ANZ",11.023,0.92,68.2,0.837,0.098,0.698,37.09024,-95.712891,"2021",6.951
"134",20,"Belgium","Western Europe",10.823,0.906,72.199,0.783,-0.153,0.646,50.503887,4.469936,"2015",6.937
"135",20,"Belgium","Western Europe",10.823,0.906,72.199,0.783,-0.153,0.646,50.503887,4.469936,"2016",6.929
"136",20,"Belgium","Western Europe",10.823,0.906,72.199,0.783,-0.153,0.646,50.503887,4.469936,"2017",6.890999794
"137",20,"Belgium","Western Europe",10.823,0.906,72.199,0.783,-0.153,0.646,50.503887,4.469936,"2018",6.927
"138",20,"Belgium","Western Europe",10.823,0.906,72.199,0.783,-0.153,0.646,50.503887,4.469936,"2019",6.923
"139",20,"Belgium","Western Europe",10.823,0.906,72.199,0.783,-0.153,0.646,50.503887,4.469936,"2020",6.863500118
"140",20,"Belgium","Western Europe",10.823,0.906,72.199,0.783,-0.153,0.646,50.503887,4.469936,"2021",6.834
"141",21,"France","Western Europe",10.704,0.942,74,0.822,-0.147,0.571,46.227638,2.213749,"2015",6.575
"142",21,"France","Western Europe",10.704,0.942,74,0.822,-0.147,0.571,46.227638,2.213749,"2016",6.478
"143",21,"France","Western Europe",10.704,0.942,74,0.822,-0.147,0.571,46.227638,2.213749,"2017",6.441999912
"144",21,"France","Western Europe",10.704,0.942,74,0.822,-0.147,0.571,46.227638,2.213749,"2018",6.489
"145",21,"France","Western Europe",10.704,0.942,74,0.822,-0.147,0.571,46.227638,2.213749,"2019",6.592
"146",21,"France","Western Europe",10.704,0.942,74,0.822,-0.147,0.571,46.227638,2.213749,"2020",6.790800095
"147",21,"France","Western Europe",10.704,0.942,74,0.822,-0.147,0.571,46.227638,2.213749,"2021",6.69
"148",22,"Bahrain","Middle East and North Africa",10.669,0.862,69.495,0.925,0.089,0.722,25.930414,50.637772,"2015",5.96
"149",22,"Bahrain","Middle East and North Africa",10.669,0.862,69.495,0.925,0.089,0.722,25.930414,50.637772,"2016",6.218
"150",22,"Bahrain","Middle East and North Africa",10.669,0.862,69.495,0.925,0.089,0.722,25.930414,50.637772,"2017",6.086999893
"151",22,"Bahrain","Middle East and North Africa",10.669,0.862,69.495,0.925,0.089,0.722,25.930414,50.637772,"2018",6.105
"152",22,"Bahrain","Middle East and North Africa",10.669,0.862,69.495,0.925,0.089,0.722,25.930414,50.637772,"2019",6.199
"153",22,"Bahrain","Middle East and North Africa",10.669,0.862,69.495,0.925,0.089,0.722,25.930414,50.637772,"2020",6.772799969
"154",22,"Bahrain","Middle East and North Africa",10.669,0.862,69.495,0.925,0.089,0.722,25.930414,50.637772,"2021",6.647
"155",23,"Malta","Western Europe",10.674,0.931,72.2,0.927,0.133,0.653,35.937496,14.375416,"2015",6.302
"156",23,"Malta","Western Europe",10.674,0.931,72.2,0.927,0.133,0.653,35.937496,14.375416,"2016",6.488
"157",23,"Malta","Western Europe",10.674,0.931,72.2,0.927,0.133,0.653,35.937496,14.375416,"2017",6.52699995
"158",23,"Malta","Western Europe",10.674,0.931,72.2,0.927,0.133,0.653,35.937496,14.375416,"2018",6.627
"159",23,"Malta","Western Europe",10.674,0.931,72.2,0.927,0.133,0.653,35.937496,14.375416,"2019",6.726
"160",23,"Malta","Western Europe",10.674,0.931,72.2,0.927,0.133,0.653,35.937496,14.375416,"2020",6.663799763
"161",23,"Malta","Western Europe",10.674,0.931,72.2,0.927,0.133,0.653,35.937496,14.375416,"2021",6.602
"162",25,"United Arab Emirates","Middle East and North Africa",11.085,0.844,67.333,0.932,0.074,0.589,23.424076,53.847818,"2015",6.901
"163",25,"United Arab Emirates","Middle East and North Africa",11.085,0.844,67.333,0.932,0.074,0.589,23.424076,53.847818,"2016",6.573
"164",25,"United Arab Emirates","Middle East and North Africa",11.085,0.844,67.333,0.932,0.074,0.589,23.424076,53.847818,"2017",6.647999763
"165",25,"United Arab Emirates","Middle East and North Africa",11.085,0.844,67.333,0.932,0.074,0.589,23.424076,53.847818,"2018",6.774
"166",25,"United Arab Emirates","Middle East and North Africa",11.085,0.844,67.333,0.932,0.074,0.589,23.424076,53.847818,"2019",6.825
"167",25,"United Arab Emirates","Middle East and North Africa",11.085,0.844,67.333,0.932,0.074,0.589,23.424076,53.847818,"2020",6.45539999
"168",25,"United Arab Emirates","Middle East and North Africa",11.085,0.844,67.333,0.932,0.074,0.589,23.424076,53.847818,"2021",6.561
"169",26,"Saudi Arabia","Middle East and North Africa",10.743,0.891,66.603,0.877,-0.149,0.684,23.885942,45.079162,"2015",6.411
"170",26,"Saudi Arabia","Middle East and North Africa",10.743,0.891,66.603,0.877,-0.149,0.684,23.885942,45.079162,"2016",6.379
"171",26,"Saudi Arabia","Middle East and North Africa",10.743,0.891,66.603,0.877,-0.149,0.684,23.885942,45.079162,"2017",6.343999863
"172",26,"Saudi Arabia","Middle East and North Africa",10.743,0.891,66.603,0.877,-0.149,0.684,23.885942,45.079162,"2018",6.371
"173",26,"Saudi Arabia","Middle East and North Africa",10.743,0.891,66.603,0.877,-0.149,0.684,23.885942,45.079162,"2019",6.375
"174",26,"Saudi Arabia","Middle East and North Africa",10.743,0.891,66.603,0.877,-0.149,0.684,23.885942,45.079162,"2020",6.440100193
"175",26,"Saudi Arabia","Middle East and North Africa",10.743,0.891,66.603,0.877,-0.149,0.684,23.885942,45.079162,"2021",6.494
"176",27,"Spain","Western Europe",10.571,0.932,74.7,0.761,-0.081,0.745,40.463667,-3.74922,"2015",6.329
"177",27,"Spain","Western Europe",10.571,0.932,74.7,0.761,-0.081,0.745,40.463667,-3.74922,"2016",6.361
"178",27,"Spain","Western Europe",10.571,0.932,74.7,0.761,-0.081,0.745,40.463667,-3.74922,"2017",6.402999878
"179",27,"Spain","Western Europe",10.571,0.932,74.7,0.761,-0.081,0.745,40.463667,-3.74922,"2018",6.31
"180",27,"Spain","Western Europe",10.571,0.932,74.7,0.761,-0.081,0.745,40.463667,-3.74922,"2019",6.354
"181",27,"Spain","Western Europe",10.571,0.932,74.7,0.761,-0.081,0.745,40.463667,-3.74922,"2020",6.406499863
"182",27,"Spain","Western Europe",10.571,0.932,74.7,0.761,-0.081,0.745,40.463667,-3.74922,"2021",6.491
"183",28,"Italy","Western Europe",10.623,0.88,73.8,0.693,-0.084,0.866,41.87194,12.56738,"2015",5.948
"184",28,"Italy","Western Europe",10.623,0.88,73.8,0.693,-0.084,0.866,41.87194,12.56738,"2016",5.977
"185",28,"Italy","Western Europe",10.623,0.88,73.8,0.693,-0.084,0.866,41.87194,12.56738,"2017",5.964000225
"186",28,"Italy","Western Europe",10.623,0.88,73.8,0.693,-0.084,0.866,41.87194,12.56738,"2018",6
"187",28,"Italy","Western Europe",10.623,0.88,73.8,0.693,-0.084,0.866,41.87194,12.56738,"2019",6.223
"188",28,"Italy","Western Europe",10.623,0.88,73.8,0.693,-0.084,0.866,41.87194,12.56738,"2020",6.400899887
"189",28,"Italy","Western Europe",10.623,0.88,73.8,0.693,-0.084,0.866,41.87194,12.56738,"2021",6.483
"190",29,"Slovenia","Central and Eastern Europe",10.529,0.948,71.4,0.949,-0.101,0.806,46.151241,14.995463,"2015",5.848
"191",29,"Slovenia","Central and Eastern Europe",10.529,0.948,71.4,0.949,-0.101,0.806,46.151241,14.995463,"2016",5.768
"192",29,"Slovenia","Central and Eastern Europe",10.529,0.948,71.4,0.949,-0.101,0.806,46.151241,14.995463,"2017",5.757999897
"193",29,"Slovenia","Central and Eastern Europe",10.529,0.948,71.4,0.949,-0.101,0.806,46.151241,14.995463,"2018",5.948
"194",29,"Slovenia","Central and Eastern Europe",10.529,0.948,71.4,0.949,-0.101,0.806,46.151241,14.995463,"2019",6.118
"195",29,"Slovenia","Central and Eastern Europe",10.529,0.948,71.4,0.949,-0.101,0.806,46.151241,14.995463,"2020",6.398900032
"196",29,"Slovenia","Central and Eastern Europe",10.529,0.948,71.4,0.949,-0.101,0.806,46.151241,14.995463,"2021",6.461
"197",30,"Guatemala","Latin America and Caribbean",9.053,0.813,64.958,0.906,-0.038,0.775,15.783471,-90.230759,"2015",6.123
"198",30,"Guatemala","Latin America and Caribbean",9.053,0.813,64.958,0.906,-0.038,0.775,15.783471,-90.230759,"2016",6.324
"199",30,"Guatemala","Latin America and Caribbean",9.053,0.813,64.958,0.906,-0.038,0.775,15.783471,-90.230759,"2017",6.453999996
"200",30,"Guatemala","Latin America and Caribbean",9.053,0.813,64.958,0.906,-0.038,0.775,15.783471,-90.230759,"2018",6.382
"201",30,"Guatemala","Latin America and Caribbean",9.053,0.813,64.958,0.906,-0.038,0.775,15.783471,-90.230759,"2019",6.436
"202",30,"Guatemala","Latin America and Caribbean",9.053,0.813,64.958,0.906,-0.038,0.775,15.783471,-90.230759,"2020",6.38740015
"203",30,"Guatemala","Latin America and Caribbean",9.053,0.813,64.958,0.906,-0.038,0.775,15.783471,-90.230759,"2021",6.435
"204",31,"Uruguay","Latin America and Caribbean",9.966,0.925,69.1,0.896,-0.092,0.59,-32.522779,-55.765835,"2015",6.485
"205",31,"Uruguay","Latin America and Caribbean",9.966,0.925,69.1,0.896,-0.092,0.59,-32.522779,-55.765835,"2016",6.545
"206",31,"Uruguay","Latin America and Caribbean",9.966,0.925,69.1,0.896,-0.092,0.59,-32.522779,-55.765835,"2017",6.453999996
"207",31,"Uruguay","Latin America and Caribbean",9.966,0.925,69.1,0.896,-0.092,0.59,-32.522779,-55.765835,"2018",6.379
"208",31,"Uruguay","Latin America and Caribbean",9.966,0.925,69.1,0.896,-0.092,0.59,-32.522779,-55.765835,"2019",6.293
"209",31,"Uruguay","Latin America and Caribbean",9.966,0.925,69.1,0.896,-0.092,0.59,-32.522779,-55.765835,"2020",6.377099991
"210",31,"Uruguay","Latin America and Caribbean",9.966,0.925,69.1,0.896,-0.092,0.59,-32.522779,-55.765835,"2021",6.431
"211",32,"Singapore","Southeast Asia",11.488,0.915,76.953,0.927,-0.018,0.082,1.352083,103.819836,"2015",6.798
"212",32,"Singapore","Southeast Asia",11.488,0.915,76.953,0.927,-0.018,0.082,1.352083,103.819836,"2016",6.739
"213",32,"Singapore","Southeast Asia",11.488,0.915,76.953,0.927,-0.018,0.082,1.352083,103.819836,"2017",6.572000027
"214",32,"Singapore","Southeast Asia",11.488,0.915,76.953,0.927,-0.018,0.082,1.352083,103.819836,"2018",6.343
"215",32,"Singapore","Southeast Asia",11.488,0.915,76.953,0.927,-0.018,0.082,1.352083,103.819836,"2019",6.262
"216",32,"Singapore","Southeast Asia",11.488,0.915,76.953,0.927,-0.018,0.082,1.352083,103.819836,"2020",6.375599861
"217",32,"Singapore","Southeast Asia",11.488,0.915,76.953,0.927,-0.018,0.082,1.352083,103.819836,"2021",6.377
"218",33,"Kosovo","Central and Eastern Europe",9.318,0.821,63.813,0.869,0.257,0.917,42.602636,20.902977,"2015",5.589
"219",33,"Kosovo","Central and Eastern Europe",9.318,0.821,63.813,0.869,0.257,0.917,42.602636,20.902977,"2016",5.401
